mysql> select story_url,completed from dwg_stories ORDER by 1;
+----------------------------------------------------+-----------+
| story_url                                          | completed |
+----------------------------------------------------+-----------+
| NULL                                               |      NULL |
| NULL                                               |      NULL |
| /ani/stories/acha1.htm                             |      NULL |
| /ani/stories/aja1.htm                              |         0 |
| /ani/stories/alessandro.htm                        |         1 |
| /ani/stories/amber1.htm                            |         0 |
| /ani/stories/amy1.htm                              |         0 |
| /ani/stories/amyanw1.htm                           |         1 |
| /ani/stories/amyb1.htm                             |         1 |
| /ani/stories/amyI1.htm                             |         1 |
| /ani/stories/anitam1c.htm                          |         1 |
| /ani/stories/anitam2.htm                           |      NULL |
| /ani/stories/anitam3.htm                           |         1 |
| /ani/stories/annap1.htm                            |         1 |
| /ani/stories/arcadia1.htm                          |         0 |
| /ani/stories/ashan1.htm                            |         1 |
| /ani/stories/asia1.htm                             |         0 |
| /ani/stories/aurora1.htm                           |         0 |
| /ani/stories/autumnd1.htm                          |         1 |
| /ani/stories/ben1.htm                              |         1 |
| /ani/stories/better.htm                            |         1 |
| /ani/stories/bridget1.htm                          |         0 |
| /ani/stories/bridgete1.htm                         |         0 |
| /ani/stories/britta1.htm                           |         0 |
| /ani/stories/bronwen1.htm                          |         0 |
| /ani/stories/bronwen2.htm                          |         0 |
| /ani/stories/bronwen3.htm                          |         0 |
| /ani/stories/calashi1.htm                          |         1 |
| /ani/stories/calboun1.htm                          |         1 |
| /ani/stories/calen1.htm                            |         1 |
| /ani/stories/calmisfits1.htm                       |         1 |
| /ani/stories/carmel1.htm                           |         0 |
| /ani/stories/carmel2.htm                           |         1 |
| /ani/stories/carmel3.htm                           |         1 |
| /ani/stories/carmel4.htm                           |         0 |
| /ani/stories/cassie1.htm                           |         0 |
| /ani/stories/cassiem2.htm                          |         1 |
| /ani/stories/cath1.htm                             |         0 |
| /ani/stories/charlottep1.htm                       |         1 |
| /ani/stories/cheyn1.htm                            |         1 |
| /ani/stories/christe1.htm                          |         1 |
| /ani/stories/christe2.htm                          |         0 |
| /ani/stories/christe3.htm                          |         0 |
| /ani/stories/christijb2.htm                        |         1 |
| /ani/stories/cindi1.htm                            |         0 |
| /ani/stories/cindyc1.htm                           |         1 |
| /ani/stories/cindyc10.htm                          |         1 |
| /ani/stories/cindyc11.htm                          |         1 |
| /ani/stories/cindyc12b.htm                         |         1 |
| /ani/stories/cindyc13.htm                          |         1 |
| /ani/stories/cindyc2.htm                           |         1 |
| /ani/stories/cindyc3.htm                           |         1 |
| /ani/stories/cindyc4.htm                           |         1 |
| /ani/stories/cindyc5.htm                           |         1 |
| /ani/stories/cindyc6.htm                           |         0 |
| /ani/stories/cindyc7.htm                           |         0 |
| /ani/stories/cindyc8.htm                           |         1 |
| /ani/stories/cindyc9.htm                           |         1 |
| /ani/stories/cjtimm1.htm                           |         1 |
| /ani/stories/claireh1.htm                          |         0 |
| /ani/stories/clouddreams1.htm                      |         1 |
| /ani/stories/clouise1.htm                          |         1 |
| /ani/stories/coleen1.htm                           |         0 |
| /ani/stories/coleen2.htm                           |         1 |
| /ani/stories/coleen3.htm                           |         0 |
| /ani/stories/coleen4.htm                           |         1 |
| /ani/stories/curiosity.htm                         |         1 |
| /ani/stories/dachrae1.htm                          |         0 |
| /ani/stories/daniela1.htm                          |         0 |
| /ani/stories/delwyn1.htm                           |         0 |
| /ani/stories/dervla1.htm                           |         0 |
| /ani/stories/destination1.htm                      |         1 |
